Longitude,Latitude,Depth,OriginTime,Mag,x,y,z
 46.6500, 38.4140,  4.1000,2012-08-13T10:29:31.200000Z,  2.2000, -8.7337, 18.2092,  4.1000
 46.6100, 38.4640, 20.0000,2012-08-13T10:45:44.000000Z,  4.2000,-12.2187, 23.7640, 20.0000
 46.8640, 38.4540,  4.7000,2012-08-13T11:47:52.300000Z,  1.8000,  9.9509, 22.6508,  4.7000
 46.5910, 38.4460,  4.1000,2012-08-13T12:07:37.300000Z,  2.1000,-13.8804, 21.7686,  4.1000
 46.7360, 38.4390, 20.0000,2012-08-13T12:45:58.000000Z,  3.9000, -1.2223, 20.9797, 20.0000
 46.7190, 38.4330, 12.6000,2012-08-13T12:53:47.200000Z,  3.2000, -2.7067, 20.3140, 12.6000
 46.8410, 38.4030, 15.4000,2012-08-13T13:31:40.300000Z,  1.5000,  7.9488, 16.9873, 15.4000
 46.7010, 38.4390,  4.1000,2012-08-13T13:57:03.300000Z,  1.8000, -4.2780, 20.9807,  4.1000
 46.7020, 38.3550, 15.3000,2012-08-13T14:02:42.800000Z,  1.5000, -4.1956, 11.6563, 15.3000
 46.6760, 38.4130,  4.1000,2012-08-13T15:06:34.400000Z,  2.7000, -6.4630, 18.0961,  4.1000
 46.7860, 38.4270, 15.6000,2012-08-13T15:32:15.700000Z,  2.2000,  3.1436, 19.6481, 15.6000
 46.6760, 38.4880, 22.0000,2012-08-13T16:14:40.600000Z,  2.6000, -6.4563, 26.4215, 22.0000
 46.6860, 38.4150,  4.1000,2012-08-13T16:31:48.900000Z,  1.6000, -5.5895, 18.3174,  4.1000
 46.6780, 38.4360,  4.6000,2012-08-13T17:08:41.800000Z,  2.8000, -6.2863, 20.6490,  4.6000
 46.7840, 38.4160,  4.1000,2012-08-13T18:31:10.900000Z,  1.9000,  2.9694, 18.4270,  4.1000
 46.6740, 38.4220, 20.5000,2012-08-13T18:40:05.700000Z,  3.4000, -6.6368, 19.0952, 20.5000
 46.6470, 38.4280, 19.5000,2012-08-13T19:43:22.000000Z,  3.3000, -8.9939, 19.7635, 19.5000
 46.7260, 38.3610, 28.6000,2012-08-13T19:55:52.700000Z,  1.8000, -2.0976, 12.3215, 28.6000
 46.8840, 38.4170, 11.3000,2012-08-13T20:12:42.800000Z,  2.8000, 11.7026, 18.5460, 11.3000
