eid,code,phase,noise,wet
12,SBZ,S,0.000,0.000
12,LKRN,S,0.000,0.000
12,MAKU,P,0.000,0.000
12,MAKU,S,0.000,0.000
12,ZRD,S,0.000,0.000
12,GNI,P,0.000,0.000
12,GNI,S,0.000,0.000
12,ZNJK,P,0.000,0.000
12,VANB,S,0.000,0.000
13,TVRZ,S,0.000,0.000
13,HRS,P,0.000,0.000
13,HRS,S,0.000,0.000
13,TBZ,P,0.000,0.000
13,TBZ,S,0.000,0.000
13,TABZ,P,0.000,0.000
13,ORD,S,0.000,0.000
13,BST,P,0.000,0.000
13,BST,S,0.000,0.000
13,MRD,P,0.000,0.000
13,SHB,P,0.000,0.000
13,AZR,P,0.000,0.000
13,SRB,P,0.000,0.000
13,GRMI,P,0.000,0.000
13,NAX,S,0.000,0.000
13,HSH,P,0.000,0.000
13,SBZ,P,0.000,0.000
13,SBZ,S,0.000,0.000
13,LRK,S,0.000,0.000
13,GLBA,S,0.000,0.000
13,ASTR,P,0.000,0.000
13,LKRN,P,0.000,0.000
13,MAKU,P,0.000,0.000
13,MAKU,S,0.000,0.000
13,BRDA,P,0.000,0.000
13,BRDA,S,0.000,0.000
13,SAAT,P,0.000,0.000
13,ZRD,P,0.000,0.000
13,GANJ,P,0.000,0.000
13,GANJ,S,0.000,0.000
13,ZNJK,P,0.000,0.000
13,ZNJK,S,0.000,0.000
13,VANB,S,0.000,0.000
14,HRS,P,0.000,0.000
14,HRS,S,0.000,0.000
14,TAHR,P,0.000,0.000
14,TAHR,S,0.000,0.000
14,FTB,P,0.000,0.000
14,TBZ,P,0.000,0.000
14,TBZ,S,0.000,0.000
14,BST,P,0.000,0.000
14,BST,S,0.000,0.000
14,SRB,P,0.000,0.000
14,ORD,P,0.000,0.000
14,MRD,P,0.000,0.000
14,MRD,S,0.000,0.000
14,SHB,P,0.000,0.000
14,SHB,S,0.000,0.000
14,AZR,P,0.000,0.000
14,HSH,P,0.000,0.000
14,LRK,P,0.000,0.000
14,NAX,P,0.000,0.000
14,NAX,S,0.000,0.000
14,SBZ,S,0.000,0.000
14,GLBA,P,0.000,0.000
14,ASTR,S,0.000,0.000
14,LKRN,P,0.000,0.000
14,LKRN,S,0.000,0.000
14,BRDA,P,0.000,0.000
14,SAAT,P,0.000,0.000
14,MAKU,S,0.000,0.000
14,ZRD,P,0.000,0.000
14,ZNJK,S,0.000,0.000
14,GNI,S,0.000,0.000
14,VANB,P,0.000,0.000
14,VANB,S,0.000,0.000
15,HRS,P,0.000,0.000
15,HRS,S,0.000,0.000
15,TABZ,P,0.000,0.000
15,TBZ,P,0.000,0.000
15,TBZ,S,0.000,0.000
15,BST,P,0.000,0.000
15,BST,S,0.000,0.000
15,ORD,S,0.000,0.000
15,SRB,P,0.000,0.000
15,MRD,P,0.000,0.000
15,MRD,S,0.000,0.000
15,SHB,P,0.000,0.000
15,SHB,S,0.000,0.000
15,GRMI,S,0.000,0.000
15,AZR,P,0.000,0.000
15,HSH,P,0.000,0.000
15,HSH,S,0.000,0.000
15,LRK,P,0.000,0.000
15,LRK,S,0.000,0.000
15,NAX,P,0.000,0.000
15,NAX,S,0.000,0.000
15,GLBA,P,0.000,0.000
15,GLBA,S,0.000,0.000
15,ASTR,P,0.000,0.000
15,LKRN,P,0.000,0.000
15,BRDA,P,0.000,0.000
15,BRDA,S,0.000,0.000
15,SAAT,P,0.000,0.000
15,GANJ,S,0.000,0.000
15,ZNJK,P,0.000,0.000
15,ZNJK,S,0.000,0.000
15,GNI,P,0.000,0.000
15,VANB,P,0.000,0.000
16,TAHR,P,0.000,0.000
16,HRS,P,0.000,0.000
16,HRS,S,0.000,0.000
16,TABZ,P,0.000,0.000
16,TABZ,S,0.000,0.000
16,TBZ,P,0.000,0.000
16,TBZ,S,0.000,0.000
16,BST,P,0.000,0.000
16,BST,S,0.000,0.000
16,ORD,P,0.000,0.000
16,SRB,P,0.000,0.000
16,SRB,S,0.000,0.000
16,MRD,P,0.000,0.000
16,MRD,S,0.000,0.000
16,SHB,P,0.000,0.000
16,HSH,S,0.000,0.000
16,LRK,P,0.000,0.000
16,LRK,S,0.000,0.000
16,NAX,P,0.000,0.000
16,SBZ,S,0.000,0.000
16,GLBA,P,0.000,0.000
16,ASTR,P,0.000,0.000
16,LKRN,P,0.000,0.000
16,LKRN,S,0.000,0.000
16,BRDA,P,0.000,0.000
16,SAAT,S,0.000,0.000
16,MAKU,P,0.000,0.000
16,MAKU,S,0.000,0.000
16,ZRD,P,0.000,0.000
16,ZNJK,P,0.000,0.000
16,GNI,P,0.000,0.000
16,VANB,S,0.000,0.000
17,TVRZ,S,0.000,0.000
17,HRS,P,0.000,0.000
17,HRS,S,0.000,0.000
17,TAHR,P,0.000,0.000
17,TAHR,S,0.000,0.000
17,TABZ,P,0.000,0.000
17,TBZ,P,0.000,0.000
17,BST,P,0.000,0.000
17,BST,S,0.000,0.000
17,ORD,S,0.000,0.000
17,SRB,P,0.000,0.000
17,SRB,S,0.000,0.000
17,MRD,P,0.000,0.000
17,MRD,S,0.000,0.000
17,SHB,P,0.000,0.000
17,AZR,P,0.000,0.000
17,GRMI,P,0.000,0.000
17,HSH,P,0.000,0.000
17,LRK,S,0.000,0.000
17,NAX,S,0.000,0.000
17,SBZ,P,0.000,0.000
17,SBZ,S,0.000,0.000
17,GLBA,P,0.000,0.000
17,GLBA,S,0.000,0.000
17,ASTR,P,0.000,0.000
17,BRDA,P,0.000,0.000
17,MAKU,P,0.000,0.000
17,SAAT,P,0.000,0.000
17,SAAT,S,0.000,0.000
17,ZRD,P,0.000,0.000
17,GANJ,S,0.000,0.000
17,GNI,P,0.000,0.000
17,GNI,S,0.000,0.000
18,TVRZ,P,0.000,0.000
18,HRS,P,0.000,0.000
18,FTB,P,0.000,0.000
18,FTB,S,0.000,0.000
18,TBZ,P,0.000,0.000
18,TBZ,S,0.000,0.000
18,BST,P,0.000,0.000
18,ORD,P,0.000,0.000
18,ORD,S,0.000,0.000
18,MRD,P,0.000,0.000
18,SHB,P,0.000,0.000
18,SRB,P,0.000,0.000
18,SRB,S,0.000,0.000
18,GRMI,P,0.000,0.000
18,GRMI,S,0.000,0.000
18,NAX,P,0.000,0.000
18,NAX,S,0.000,0.000
18,SBZ,P,0.000,0.000
18,LRK,S,0.000,0.000
18,ASTR,P,0.000,0.000
18,LKRN,S,0.000,0.000
18,MAKU,P,0.000,0.000
18,MAKU,S,0.000,0.000
18,BRDA,P,0.000,0.000
18,SAAT,S,0.000,0.000
18,ZRD,P,0.000,0.000
18,ZRD,S,0.000,0.000
18,GANJ,S,0.000,0.000
18,GNI,S,0.000,0.000
18,ZNJK,P,0.000,0.000
18,ZNJK,S,0.000,0.000
18,VANB,P,0.000,0.000
19,TVRZ,S,0.000,0.000
19,TAHR,P,0.000,0.000
19,HRS,P,0.000,0.000
19,HRS,S,0.000,0.000
19,TBZ,P,0.000,0.000
19,TBZ,S,0.000,0.000
19,TABZ,S,0.000,0.000
19,FTB,P,0.000,0.000
