 DATE    ORIGIN    LAT N    LONG E    DEPTH    MAG NO GAP DMIN  RMS  ERH  ERZ QM
 10203 -159 59.93 33-51.06  52-37.01  21.15        25 137 40.1 0.14  0.3  0.5 B1
 10203  433  0.01 33-39.96  52-36.21  21.26        24 161 63.1 0.15  0.4  0.7 C1
 10203  434 10.06 33-53.56  52-31.76  18.98        26 131 42.0 0.18  0.4  0.5 C1
 10203  435 20.16 33-28.73  52-38.18  25.44        25 187 75.8 0.24  0.8  1.3 C1
 10203  436 29.52 34-10.43  52-34.77  18.69        26 118 19.8 0.24  0.5  0.5 B1
 10203  437 40.25 33-47.48  52-29.41  17.67        29 144 49.1 0.20  0.5  0.6 C1
 10203  438 49.98 33-38.12  52-39.51  25.02        25 187 60.0 0.20  0.7  1.0 C1
 10203  440  0.13 33-47.40  52-33.29  20.05        26 144 49.0 0.19  0.4  0.7 C1
 10203  441  9.54 33-54.56  52-46.59  27.11        25 130 27.7 0.20  0.5  0.7 B1
 10203  442 20.11 33-45.09  52-33.91  20.95        28 150 52.0 0.15  0.4  0.6 C1
 10203  443 30.15 33-50.41  52-38.04  24.15        26 138 54.4 0.15  0.3  0.8 C1
 10203  444 40.37 33-43.35  52-25.89  17.00        28 153 46.0 0.23  0.6  0.8 C1
 10203  445 49.96 33-50.60  52-37.15  21.50        27 138 40.7 0.17  0.4  0.6 C1
 10203  447  0.05 33-41.25  52-41.46  26.39        24 158 53.5 0.12  0.3  0.7 C1
 10203  448  9.82 34- 3.99  52-23.70  12.68        26 109 39.7 0.18  0.4  0.5 C1
 10203  449 19.98 33-50.83  52-41.82  25.32        29 137 36.8 0.17  0.4  0.7 C1
 10203  450 30.30 33-48.70  52-28.66  17.87        26 141 51.7 0.23  0.6  0.7 C1
 10203  451 39.93 33-47.99  52-44.47  27.61        28 143 40.3 0.12  0.3  0.5 B1
 10203  452 50.59 33-38.53  52-19.85  18.00        28 183 42.2 0.39  1.4  1.5 D1
 10203  453 59.99 33-51.90  52-17.87   9.87        30 129 30.4 0.22  0.5  0.5 C1
 10203  455 10.25 33-38.46  52-28.69  20.04        26 165 53.8 0.16  0.5  0.9 C1
 10203  456 20.07 33-32.78  52-27.32  19.35        27 180 57.9 0.20  0.6  0.9 C1
 10203  457 30.10 33-35.18  52-39.18  25.52        27 197 65.3 0.21  0.8  1.2 C1
 10203  458 39.80 33-51.11  52-44.58  27.32        25 137 34.7 0.18  0.4  0.7 C1
 10203  459 50.07 33-45.99  52-41.59  26.27        28 147 45.2 0.11  0.3  0.5 B1
 10203  5 0 59.79 33-50.93  52-44.09  27.68        27 137 35.3 0.18  0.4  0.6 C1
 10203  5 2 10.13 33-43.40  52-31.07  20.57        26 182 53.5 0.20  0.6  0.8 C1
